language,extension,include_final
GSC,gsh,TRUE
ASL,dsl,TRUE
ASL,asl,TRUE
Kit,kit,TRUE
Kit,html,TRUE
Jasmin,j,TRUE
Proguard,pro,TRUE
Literate Haskell,lhs,TRUE
RPGLE,rpgle,TRUE
RPGLE,sqlrpgle,TRUE
Adobe Font Metrics,afm,TRUE
YANG,yang,TRUE
Stan,stan,TRUE
NEON,neon,TRUE
wdl,wdl,TRUE
NCL,ncl,TRUE
V,v,TRUE
V,,TRUE
CLIPS,clp,TRUE
Isabelle,thy,TRUE
Euphoria,e,TRUE
Euphoria,ex,TRUE
Thrift,thrift,TRUE
Squirrel,nut,TRUE
OpenQASM,qasm,TRUE
HXML,hxml,TRUE
Io,io,TRUE
Vala,vala,TRUE
Vala,vapi,TRUE
Vala,cs,TRUE
OpenStep Property List,plist,TRUE
OpenStep Property List,glyphs,TRUE
Velocity Template Language,vtl,TRUE
Nextflow,nf,TRUE
Nextflow,config,TRUE
PigLatin,pig,TRUE
Jsonnet,jsonnet,TRUE
Jsonnet,libsonnet,TRUE
Clarion,clw,TRUE
NPM Config,npmrc,TRUE
Astro,astro,TRUE
MoonScript,moon,TRUE
Limbo,b,TRUE
Limbo,m,TRUE
Cool,cl,TRUE
Fantom,fan,TRUE
Lasso,las,TRUE
Lasso,lasso,TRUE
Clean,dcl,TRUE
Clean,icl,TRUE
Clean,,TRUE
ChucK,ck,FALSE
Redirect Rules,,TRUE
Pan,pan,TRUE
DNS Zone,zone,TRUE
DNS Zone,arpa,TRUE
Arc,arc,TRUE
MLIR,mlir,TRUE
WebAssembly,wat,TRUE
WebAssembly,wast,TRUE
Mercury,m,TRUE
YARA,yar,TRUE
YARA,yara,TRUE
Inno Setup,iss,TRUE
Inno Setup,isl,TRUE
MQL4,mq4,TRUE
MQL4,mqh,TRUE
OpenType Feature File,fea,TRUE
Promela,pml,TRUE
Marko,marko,TRUE
Wollok,wlk,TRUE
MQL5,mqh,TRUE
MQL5,mq5,TRUE
Sage,sage,TRUE
Sage,sagews,TRUE
Modula-2,mod,TRUE
Modula-2,,TRUE
API Blueprint,apib,TRUE
Easybuild,eb,TRUE
Texinfo,texi,TRUE
Texinfo,m,TRUE
Texinfo,txi,TRUE
Texinfo,texinfo,TRUE
Texinfo,tex,TRUE
Parrot Internal Representation,pir,TRUE
Parrot Internal Representation,muscle,TRUE
Parrot Internal Representation,t,TRUE
Parrot Internal Representation,interfastatodos,TRUE
Ceylon,ceylon,TRUE
Red,red,TRUE
Red,reds,TRUE
Rascal,rsc,TRUE
Brainfuck,b,TRUE
Brainfuck,bf,TRUE
Futhark,fut,TRUE
NSIS,nsi,TRUE
NSIS,nsh,TRUE
Ninja,ninja,TRUE
Monkey C,mc,TRUE
Open Policy Agent,rego,TRUE
JSON5,json5,TRUE
Modula-3,i3,TRUE
Modula-3,m3,TRUE
Modula-3,mg,TRUE
Modula-3,ig,TRUE
Modula-3,,TRUE
Prisma,prisma,TRUE
Literate CoffeeScript,md,TRUE
Literate CoffeeScript,litcoffee,TRUE
Faust,dsp,TRUE
BlitzMax,bmx,TRUE
Debian Package Control File,dsc,TRUE
ImageJ Macro,ijm,TRUE
Readline Config,inputrc,TRUE
Readline Config,,TRUE
Bicep,bicep,FALSE
Boo,boo,TRUE
GAMS,gms,TRUE
Csound Score,sco,TRUE
JFlex,flex,TRUE
JFlex,jflex,TRUE
Genero,4gl,TRUE
Microsoft Developer Studio Project,dsp,TRUE
Genero Forms,per,TRUE
J,ijs,TRUE
Xojo,,TRUE
CUE,cue,TRUE
GDB,gdbinit,TRUE
GDB,gdb,TRUE
GDB,,TRUE
Alloy,als,TRUE
Bluespec,bsv,TRUE
Bluespec,,TRUE
BlitzBasic,bb,TRUE
BlitzBasic,decls,TRUE
Fennel,fnl,TRUE
Metal,metal,TRUE
P4,p4,TRUE
